Algorithm,Size,Time
QuickSortR,100000,0.005798
QuickSortR,100000,0.006157
QuickSortR,100000,0.005786
QuickSortR,100000,0.005800
QuickSortR,100000,0.005802
QuickSortR,100000,0.005792
QuickSortR,100000,0.005805
QuickSortR,100000,0.005797
QuickSortR,100000,0.005799
QuickSortR,100000,0.006044
QuickSortR,100000,0.005864
QuickSortR,100000,0.005821
QuickSortR,100000,0.005824
QuickSortR,100000,0.005823
QuickSortR,100000,0.005783
QuickSortR,100000,0.005796
QuickSortR,100000,0.005794
QuickSortR,100000,0.005791
QuickSortR,100000,0.005792
QuickSortR,100000,0.005784
QuickSortR,100000,0.005786
QuickSortR,100000,0.005790
QuickSortR,100000,0.005845
QuickSortR,100000,0.005803
MergeSortI,1000,0.000152
MergeSortI,1000,0.000164
MergeSortI,1000,0.000103
MergeSortI,1000,0.000102
MergeSortI,1000,0.000102
MergeSortI,1000,0.000101
MergeSortI,1000,0.000102
MergeSortI,1000,0.000102
MergeSortI,1000,0.000102
MergeSortI,1000,0.000107
MergeSortI,1000,0.000101
MergeSortI,1000,0.000101
MergeSortI,1000,0.000102
MergeSortI,1000,0.000101
MergeSortI,1000,0.000101
MergeSortI,1000,0.000101
MergeSortI,1000,0.000100
MergeSortI,1000,0.000106
MergeSortI,1000,0.000101
MergeSortI,1000,0.000101
MergeSortI,1000,0.000102
MergeSortI,1000,0.000101
MergeSortI,1000,0.000101
MergeSortI,1000,0.000100
MergeSortI,1000,0.000100
MergeSortI,1000,0.000127
MergeSortI,1000,0.000117
MergeSortI,1000,0.000143
MergeSortI,1000,0.000133
MergeSortI,1000,0.000102
MergeSortI,10000,0.001249
MergeSortI,10000,0.001272
MergeSortI,10000,0.001622
MergeSortI,10000,0.001256
MergeSortI,10000,0.001383
MergeSortI,10000,0.001239
MergeSortI,10000,0.001347
MergeSortI,10000,0.001244
MergeSortI,10000,0.001297
MergeSortI,10000,0.001241
MergeSortI,10000,0.001247
MergeSortI,10000,0.001239
MergeSortI,10000,0.001351
MergeSortI,10000,0.001243
MergeSortI,10000,0.001716
MergeSortI,10000,0.001318
MergeSortI,10000,0.001236
MergeSortI,10000,0.001320
MergeSortI,10000,0.001230
MergeSortI,10000,0.001231
MergeSortI,10000,0.001261
